Unnamed: 0,celex
640,31977L0092
641,31977L0093
642,31977L0094
643,31977L0095
644,31977L0098
645,31977L0099
646,31977L0101
647,31977L0143
648,31977L0158
649,31977L0159
650,31977L0187
651,31977L0212
652,31977L0311
653,31977L0312
654,31977L0313
655,31977L0388
656,31977L0389
657,31977L0391
658,31977L0435
659,31977L0436
660,31977L0452
661,31977L0453
662,31977L0486
663,31977L0489
664,31977L0504
665,31977L0536
666,31977L0537
667,31977L0538
668,31977L0539
669,31977L0540
670,31977L0541
671,31977L0576
672,31977L0649
673,31977L0728
674,31977L0796
675,31977L0799
676,31977L0800
677,31977L0805
678,31977R0222
679,31977R0280
680,31977R0328
681,31977R0339
682,31977R0340
683,31977R0355
684,31977R0425
685,31977R0474
686,31977R0482
687,31977R0483
688,31977R0516
689,31977R0525
690,31977R0550
691,31977R0846
692,31977R0870
693,31977R0878
694,31977R1034
695,31977R1035
696,31977R1055
697,31977R1056
698,31977R1071
699,31977R1078
700,31977R1079
701,31977R1110
702,31977R1111
703,31977R1151
704,31977R1156
705,31977R1158
706,31977R1170
707,31977R1177
708,31977R1180
709,31977R1193
710,31977R1194
711,31977R1195
712,31977R1196
713,31977R1197
714,31977R1198
715,31977R1199
716,31977R1220
717,31977R1250
718,31977R1251
719,31977R1386
720,31977R1393
721,31977R1620
722,31977R1658
723,31977R1659
724,31977R1660
725,31977R1661
726,31977R1662
727,31977R1663
728,31977R1664
729,31977R1694
730,31977R1726
731,31977R1766
732,31977R1768
733,31977R2042
734,31977R2102
735,31977R2115
736,31977R2290
737,31977R2360
738,31977R2387
739,31977R2463
740,31977R2464
741,31977R2560
742,31977R2571
743,31977R2595
744,31977R2610
745,31977R2827
746,31977R2828
747,31977R2829
748,31977R2830
749,31977R2831
750,31977R2845
751,31977R2862
752,31977R2874
753,31977R2891
754,31977R2893
755,31977R2894
756,31977R2895
757,31977R2907
758,31977R2929
759,31977R2930
760,31977R2932
761,31977R2933
762,31977R2935
763,31977R2937
764,31977R2939
765,31977R2941
766,31977R2943
767,31977R3013
768,31977R3022
769,31977R3024
770,31977R3026
771,31978L0025
772,31978L0050
773,31978L0053
774,31978L0055
775,31978L0142
776,31978L0143
777,31978L0144
778,31978L0145
779,31978L0170
780,31978L0175
781,31978L0176
782,31978L0315
783,31978L0316
784,31978L0317
785,31978L0318
786,31978L0319
787,31978L0320
788,31978L0338
789,31978L0420
790,31978L0453
791,31978L0473
792,31978L0547
793,31978L0548
794,31978L0549
795,31978L0583
796,31978L0609
797,31978L0610
798,31978L0611
799,31978L0612
800,31978L0627
801,31978L0628
802,31978L0630
803,31978L0631
804,31978L0659
805,31978L0660
806,31978L0669
807,31978L0686
808,31978L0687
809,31978L0692
810,31978L0764
811,31978L0816
812,31978L0842
813,31978L0855
814,31978L0932
815,31978L0933
816,31978L1015
817,31978L1016
818,31978L1017
819,31978L1018
820,31978L1020
821,31978L1026
822,31978L1027
823,31978L1031
824,31978L1032
825,31978L1033
826,31978L1034
827,31978L1035
828,31978R0129
829,31978R0152
830,31978R0218
831,31978R0255
832,31978R0352
833,31978R0430
834,31978R0594
835,31978R0616
836,31978R0705
837,31978R0706
838,31978R0709
839,31978R0827
840,31978R0830
841,31978R0850
842,31978R0946
843,31978R1001
844,31978R1037
845,31978R1038
846,31978R1117
847,31978R1119
848,31978R1122
849,31978R1125
850,31978R1126
851,31978R1128
852,31978R1152
853,31978R1153
854,31978R1154
855,31978R1198
856,31978R1245
857,31978R1254
858,31978R1260
859,31978R1298
860,31978R1300
861,31978R1301
862,31978R1302
863,31978R1303
864,31978R1346
865,31978R1347
866,31978R1348
867,31978R1360
868,31978R1361
869,31978R1362
870,31978R1396
871,31978R1421
872,31978R1423
873,31978R1431
874,31978R1452
875,31978R1453
876,31978R1484
877,31978R1562
878,31978R1760
879,31978R1761
880,31978R1762
881,31978R1766
882,31978R1767
883,31978R1814
884,31978R1852
885,31978R2133
886,31978R2152
887,31978R2183
888,31978R2210
889,31978R2211
890,31978R2212
891,31978R2213
892,31978R2214
893,31978R2215
894,31978R2216
895,31978R2217
896,31978R2237
897,31978R2302
898,31978R2451
899,31978R2452
900,31978R2453
901,31978R2454
902,31978R2455
903,31978R2456
904,31978R2457
905,31978R2532
906,31978R2573
907,31978R2749
908,31978R2760
909,31978R2778
910,31978R2779
911,31978R2780
912,31978R2924
913,31978R2925
914,31978R2990
915,31978R2993
916,31978R3060
917,31978R3061
918,31978R3062
919,31978R3064
920,31978R3078
921,31978R3079
922,31978R3080
923,31978R3081
924,31978R3082
925,31978R3083
926,31978R3153
927,31978R3165
928,31978R3166
929,31978R3167
930,31978R3168
931,31978R3169
932,31978R3170
933,31978R3171
934,31978R3179
935,31978R3181
936,31979L0005
937,31979L0007
938,31979L0009
939,31979L0032
940,31979L0040
941,31979L0109
